timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-09-01T00:00:00.000Z";"2023-09-30T23:59:59.999Z";"2023-09-04T03:14:00.000Z";"2023-09-11T19:40:00.000Z";0.2553683267;0.259466255;0.2376258303;0.254046922;3458695075.51;8925249511.36;"2023-09-30T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-02T00:09:00.000Z";"2023-08-17T21:48:00.000Z";0.3074849579;0.3112675796;0.2457951035;0.255373444;6405804887.99;8956450722.33;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-14T00:17:00.000Z";"2023-07-06T14:42:00.000Z";0.2869567749;0.3747097746;0.2770933315;0.3074884977;8553875547.39;10764335265.81;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-04T22:20:00.000Z";"2023-06-10T04:30:00.000Z";0.3744139759;0.3817354504;0.2304195144;0.2869560719;9048009353.84;10027878304.91;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-01T00:46:00.000Z";"2023-05-11T18:23:00.000Z";0.397280942;0.3977470341;0.3512082273;0.374403147;5991689965.78;13060569781.48;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-15T14:50:00.000Z";"2023-04-03T01:49:00.000Z";0.3988801825;0.4605623755;0.372874866;0.3973536325;227002470.21;13832293738.71;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-31T18:04:00.000Z";"2023-03-10T10:46:00.000Z";0.3525264591;0.4079376663;0.2984843659;0.3989232093;637648499.14;13859662621.37;"2023-03-31T23:59:59.999Z"
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-16T00:19:00.000Z";"2023-02-13T17:57:00.000Z";0.3908629064;0.4191821373;0.3468963828;0.352453998;240196842.54;12219933289.19;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-29T23:18:00.000Z";"2023-01-01T09:07:00.000Z";0.2464142515;0.3986752476;0.2442446199;0.3909258285;466045236.11;13523562624.85;"2023-01-31T23:59:59.999Z"
"2022-12-01T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-05T08:28:00.000Z";"2022-12-30T07:34:00.000Z";0.3188908886;0.3287563881;0.2403503581;0.2464659311;144122815.19;8505385897.19;"2022-12-31T23:59:59.999Z"
"2022-11-01T00:00:00.000Z";"2022-11-30T23:59:59.999Z";"2022-11-05T16:59:00.000Z";"2022-11-21T19:47:00.000Z";0.4062891187;0.4362142615;0.2972875197;0.318882658;272587133.63;10984442289.08;"2022-11-30T23:59:59.999Z"
"2022-10-01T00:00:00.000Z";"2022-10-31T23:59:59.999Z";"2022-10-04T21:08:00.000Z";"2022-10-21T12:25:00.000Z";0.4344287836;0.4372204634;0.330993548;0.4063364152;569992895.18;13949931881.28;"2022-10-31T23:59:59.999Z"
"2022-09-01T00:00:00.000Z";"2022-09-30T23:59:59.999Z";"2022-09-10T03:29:00.000Z";"2022-09-28T02:38:00.000Z";0.4466772826;0.5234930684;0.4264143801;0.4344143165;562475136.24;14876397351.68;"2022-09-30T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-31T23:59:59.999Z";"2022-08-14T03:16:00.000Z";"2022-08-29T00:12:00.000Z";0.5170513017;0.5938981019;0.4276824739;0.4466649726;521553601.6;15076088551.5;"2022-08-31T23:59:59.999Z"
"2022-07-01T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-30T14:14:00.000Z";"2022-07-13T13:34:00.000Z";0.4593122797;0.5512183699;0.4064369506;0.5170200768;875157898.06;17544584313.12;"2022-07-31T23:59:59.999Z"
"2022-06-01T00:00:00.000Z";"2022-06-30T23:59:59.999Z";"2022-06-08T16:16:00.000Z";"2022-06-18T20:13:00.000Z";0.6254165823;0.666099408;0.4234193804;0.4588493368;903962267.74;15481130857.48;"2022-06-30T23:59:59.999Z"
"2022-05-01T00:00:00.000Z";"2022-05-31T23:59:59.999Z";"2022-05-05T00:31:00.000Z";"2022-05-12T07:19:00.000Z";0.756700598;0.9041106107;0.4065292175;0.6252540982;3269050142.98;21095465849.46;"2022-05-31T23:59:59.999Z"
"2022-04-01T00:00:00.000Z";"2022-04-30T23:59:59.999Z";"2022-04-04T14:34:00.000Z";"2022-04-30T23:13:00.000Z";1.1419518289;1.2403576409;0.7423586054;0.7566602788;868001173.35;25539225298.63;"2022-04-30T23:59:59.999Z"
"2022-03-01T00:00:00.000Z";"2022-03-31T23:59:59.999Z";"2022-03-28T13:22:00.000Z";"2022-03-14T00:16:00.000Z";0.9598862805;1.2428650163;0.7819079626;1.141850686;1745903089.48;38525050494.39;"2022-03-31T23:59:59.999Z"
"2022-02-01T00:00:00.000Z";"2022-02-28T23:59:59.999Z";"2022-02-08T06:20:00.000Z";"2022-02-24T07:37:00.000Z";1.0522356064;1.2578164892;0.7528096164;0.9598278144;1779202385.55;32309122793.98;"2022-02-28T23:59:59.999Z"
"2022-01-01T00:00:00.000Z";"2022-01-31T23:59:59.999Z";"2022-01-18T02:13:00.000Z";"2022-01-22T10:19:00.000Z";1.3101303641;1.6312981674;0.9333970762;1.052302735;925666320.92;35321862362.27;"2022-01-31T23:59:59.999Z"
