timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-09-01T00:00:00.000Z";"2023-09-30T23:59:59.999Z";"2023-09-17T05:41:00.000Z";"2023-09-28T10:53:00.000Z";0.9998128419;1.0009376649;0.9989877145;1.0002098567;626627443790.77;83261517290.27;"2023-09-30T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-29T14:41:00.000Z";"2023-08-07T12:49:00.000Z";0.9999145877;1.0011281462;0.997796344;0.9998457448;679016663946.24;82852238609.1;"2023-08-31T23:59:59.999Z"
"2023-07-01T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-14T18:31:00.000Z";"2023-07-24T14:45:00.000Z";0.999818524;1.0014211849;0.9991210184;0.9999106494;660283881057.88;83811761011.57;"2023-07-31T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-23T16:03:00.000Z";"2023-06-15T09:07:00.000Z";1.0002140882;1.0013906729;0.9957605929;1.0000812648;733972034323.85;83384488052.59;"2023-06-30T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-06T20:05:00.000Z";"2023-05-25T07:26:00.000Z";1.0005551542;1.0021184521;0.999479875;1.000333567;689438522255.84;83212070951.08;"2023-05-31T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-12T02:23:00.000Z";"2023-04-04T11:08:00.000Z";1.000078429;1.0015296914;0.9991963571;1.0004384502;21489188232.24;81743942509.34;"2023-04-30T23:59:59.999Z"
"2023-03-01T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-11T04:15:00.000Z";"2023-03-29T08:12:00.000Z";1.0001689777;1.0296284355;0.9991164142;1.0001239899;29809423852.96;79682243497.42;"2023-03-31T23:59:59.999Z"
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-13T10:55:00.000Z";"2023-02-24T21:32:00.000Z";1.0001378741;1.0024961408;1.0000251584;1.0001539861;29878544329.34;70941051092.61;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-15T16:59:00.000Z";"2023-01-01T13:36:00.000Z";0.9996796257;1.0005025704;0.9995673635;1.0001167624;31416134222.3;67819253147.61;"2023-01-31T23:59:59.999Z"
"2022-12-01T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-13T06:41:00.000Z";"2022-12-29T06:13:00.000Z";1.0000287017;1.0005725818;0.9995986556;0.9996738838;13466542553.44;66242103757.6;"2022-12-31T23:59:59.999Z"
"2022-11-01T00:00:00.000Z";"2022-11-30T23:59:59.999Z";"2022-11-08T19:40:00.000Z";"2022-11-10T12:26:00.000Z";0.9999557604;1.0005145777;0.9815247356;1.0000154434;37405224165.96;65363690424.03;"2022-11-30T23:59:59.999Z"
"2022-10-01T00:00:00.000Z";"2022-10-31T23:59:59.999Z";"2022-10-29T18:51:00.000Z";"2022-10-12T01:04:00.000Z";1.0000616343;1.0003458517;0.9998615026;0.9999472059;67168423337.76;69416268972.46;"2022-10-31T23:59:59.999Z"
"2022-09-01T00:00:00.000Z";"2022-09-30T23:59:59.999Z";"2022-09-10T16:15:00.000Z";"2022-09-16T18:50:00.000Z";1.0000142919;1.0004202218;0.9998908263;1.0000490051;55223655588.72;67959536956.07;"2022-09-30T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-31T23:59:59.999Z";"2022-08-13T09:50:00.000Z";"2022-08-23T07:11:00.000Z";1.0003224782;1.000573963;0.9998860651;1.0000164964;48405934722.33;67550878447.21;"2022-08-31T23:59:59.999Z"
"2022-07-01T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-28T00:20:00.000Z";"2022-07-01T07:30:00.000Z";0.9988602903;1.0003597931;0.9987047154;1.0003279908;52267348020.18;66219690038.41;"2022-07-31T23:59:59.999Z"
